Tweet,Hate,Fake
@ShuklaRajiv @INCIndia Africa mey parney likney khaney peeney ka kharcha Tableeghi Jamaat kay Corona Virus ney diya tha jo G ji kay madhyam sey poorey Desh mey phaila...Pandit ji too late to repaint Gandhi ....,1,1
Only the Tablighi Jamaat people are responsible for spreading Corona in the country. They should be banned and action should be taken.,1,1
"I am Babu Jha, I am speaking from Bihar, the Bihari who has been killed, Nitish government should take action, you are talking about killing, then he should go to Bihar and Tamilnadu once.",0,1
RSS-VHP government has changed its mind,0,0
"@sushantxdestiny @itsSSR Just like Pathaan was boycotted, get him boycotted too in the same way",0,0
@aajtak @chitraaum @sushantm870 But Corona has been spread by the Muslim Tablighi Jamaat..... Godi media... These poor guys are talking about medicine for Corona while coming out on the road... Wah re wah hootiyo,1,1
"Aasma, you, your husband and even your fathers cannot save the person who has committed this heinous sin. If justice is given by law, that is one thing, if not, there are many other ways to get justice.

Ultimately, everyone has to come out on the streets.

#HindusUnderAttack #HinduLivesMatters",1,0
"@sudhirchaudhary @RubikaLiyaquat How did both of you burn, how quickly did you come to RT this????????????? Are you looking for sympathy????????????? Then this funny thing about Corona Virus did not occur to me when I was with the entire Jamaat",1,1
"@sarim110 @iamrana Nothing will be achieved by talking nonsense on Twitter, just find the papers. The detention center is ready. Tablighi Jamaat is the son of Corona",1,1
"Whatever it may be, but all those who take life are traitors, living in India, they don't even know Hindi, and what is the law to take someone's life like this, brother ð¤ð¤ð¤",1,1
"Jai Shree Krishna Ã¢ÂÂ¤<br>Now we have to do it with the help of god<br>Lado, a Jihadi government will never be formed, now Krishna Vasudev has taken over, Jai I am going to go Ã¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤",0,0
"@ajaydevgn Brother, don't make anything that hurts Hindu sentiments, nor anything vulgar.

#HinduLivesMatters 
#HindusUnderAttack 
#Hindutva 
#Hinduism 
#Bollywood",0,0
"@VidyaKrishnan Listen, those who participated in the Rath Yatra were tested for corona, only then you can understand that they participated. Don't understand it like Tablighi Jamaat",1,1
"@BaljitS66280002 He did hit me, that seemed wrong to me but now after the farmer protests it seems he did the right thing. If you raise slogans of Khalistan then anyone will hit, and if you do protests by harassing the public and blocking roads then the govt. Congress was right, Modi",0,0
Aka bihari duniya pe biramið,0,0
"@AazmiTaqui @AbhaSoni11 @ZaraHayatt @AasiaFatema @Asmaparveen77 @Ziya_Khan121 @mazher50 @OsamaShaikhIND @AIMIMZuberMemon No Muslim thinks negatively, if a Muslim talks about truth and justice here, he is a terrorist or Kapil Mishra and Anurag Thakur are like countrymen.",0,0
@INCMP #boycottPathan gang where are you,0,0
"In Jharkhand, air ambulance is available to save stone pelters but nothing for a daughter Ankita.. 
Shame on Soren
#HindusUnderAttack
#justiceforAnkitaKumari
#HemantSoren",1,0
"@_JAINMITESH @sanjaynirupam Corona virus is Trump's gift, understand that he brought 1.2 lakh foreigners with him in the Namaste Trump programme, after all who organised this programme is public, everyone knows this #china_virus",0,0
"It was fun to do love jihad, now what happened, when Hindus started doing it then there was a problem, Jai Sanatan Dharma Ã°ÂÂÂ",1,1
@MalwalMr @BK_Bhartiy2 @MimrotReena Otherwise you can see how many people in the Jamaat have tested positive for Corona,1,1
"Everything is our own thinking<br>The one who by believing in Allah increases terrorism in the world and kills others, he is good????<br><br>The one who does not believe in Allah and belongs to any other religion<br>And is far from killing a human being, he does not care about an animal<br>Oh he is saint<br><br>Yeah, the thinking is same on ????",1,0
"#BuddhismJihad #loveJihad #bhagwalovetrap #HindusUnderAttack???? Hindu is in danger, the devotee Hindu is busy with Muslim???????? now who is in danger from?",1,1
"@roooossshhiiiii Arey... Delhi CM sahab... what should I say for him...

It is good that you don't take intoxicants yet, otherwise you should also say that Modiji made the corona virus after going to China...",0,1
"@Troll_Ziddi I don't know about Zee News but it came to light after the tableau group tested positive for Corona and the WHO came to know that gold tattoos, gold tattoos and halala products also get infected.",1,1
Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ koi nhi kar raha didi <br>It's all Islam or love to defend yourself date Ã°ÂÂÂ,0,1
"@MrTariqKhan3 @sudhanshu3911 @SanjayAzadSln @KapilMishra_IND @JainKiran6 @imAbhishek_20 @Dikshapandey22 @AshishM93313825 Rich, Qualified Hindutuvadi ki bhool maanveey aur jaahil gharib Tablighi muslim desh drohi, atankvadi.
Aji ab to choro, sab ka baap Co",1,1
"@vikashvicks yes why not..
2-3 of them were sick..anyone can get it...
But everyone was defamed like this..that they said this here and that there and what not..
No one was misconducted in the hospitals, the hospital staff themselves said so..
No one was affected",0,1
Talking latter Box Ã°ÂÂÂ,0,0
"@SaraSachinpilot Yes, I say with confidence that the main accused of spreading corona in India are Markaz's Tablighi Jamaat and Maulana Saad.",1,1
"@RoflGandhi_ @News18India Shameful, B&amp;D and Fake News Spreader Godi Media, is there a little shame left or not @News18India ?? The farmer works in the field all day and he has been protesting in the cold for how many days, did you eat a little good or did you get good help from them?",1,0
"Your freedom here is just a goat and any other animal, that's it, first take your freedom and then say it, Islam is just a pornhub",1,0
"@kaushik_krc @AskAnshul @MumbaiPolice @DelhiPolice Yes, you make it like this and you are a fool with your fake knowledge. I have given the link of my ID... I am asking you to investigate.. and brother, it would be good if you come out of the darkness. It was not a farmer protest either. S",1,1
All of a sudden all these things happening right before 2024 elections sahi pakde hai lala ji. Pulwama and now this . May be independent agency should investigate current government officials and let the truth prevails ..guess what you wonÂt suppor this investigation,1,1
@sukh_slatch @nto1927 @diljitdosanjh is so concerned if why did he not feel sad here… he did not say here why this happened to our Sikh brother… he should have also appealed that… people saying Khalistan Zindabad should not come to the farmers protest…,0,0
"How funny <br>Using app , made by kafir <br>Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ",1,0
"Hey Zubair, how much will you eat, this is the country, you live in this country, take support of the name Hindu, Hindu girls are also fasting, atl news and Zubair is a lier and he is anti-Hindu and anti-Indian, he has Hinduphobia",1,0
"@UGpk brother, here one channel of ours revealed that the 2000 rupee note must have Nano GPS chip installed in the new currency, is it a note or an Android phone",0,0
ulta v soch lea chuslaam ball and .Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,0
"@anuragmuskaan I am from a Hindu and Sikh family, there are 106 cases of Corona in Punjab, out of which only 10 would be Muslims who had gone to the Jamaat. 90 people are Sikhs and Hindus, at this time those people should get a chance to make Hindus and Muslims fight. One person's mistake, the whole comm",1,1
"@News18India @prateektv @shoaibJamei Jamil Mikhiya is preparing to send some Corona positive people into India. After seeing this, Tablighi Jamaat's program seems to be a completely well thought out conspiracy. The preplanned program was executed and p",1,1
"Some #Hindus make others like us to reconsider our thought and efforts ????????

????????? ????????????????????? ???????????? ?????????????????? ???????????? ????????? ?????? ???????????? ???????????????????????? ?????? ?????? ????????? ???????????? ?????? ?????? ????????? ????????? ????????? ??????????????? ?????? ?????? ??????????????? ?????? ????????????????????? ??????????

#HindusUnderAttack",0,0
"@ANI Corona we are ashamed, Tablighi is still alive!",1,1
"You are defaming Manish Kashyap. This is not Manish Kashyap's person, Mike Meà¥¤à¥¤",0,0
WE   NEED   STRONG Ã°ÂÂÂª ACTIONS   AGAINST   &quot;&quot;&quot;&quot; LOVE   JIHAD   JIHADIST   TERRORIST  &quot;&quot;&quot;&quot;.,1,0
correct.bath,0,1
"It's fake... I will not be an RCB fan, this would be some fool of mineÃ°ÂÂÂ",1,0
When did you start this Ulta card? The victim has left the card and now the Ulta card is there.,0,0
"#SaadZafarulParKiskaHath CONGRESS TABLIGI JAMAT ABDUL RAZAQ People like Chand are not completely Muslim and whoever does something wrong during Corona times will be spitted out, we have to be ready for punishment",1,1
About Shanti,0,0
Bhag lawdiÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,0
"@apnarajeevnigam and those who are in Delhi along with the government, did they return the dignity of their families and mothers and daughters? Today you were so angry on a prolice jeep. Shame on you guys #HindusUnderAttack #HindusUnderAttackInIndia",1,0
"This cannot be Manish ji, it is not true, it is a fake video (Tejasvee yaadav 9bi failðð¤£)",0,0
"@iamsrk Pathaan you will be a blockbuster, two words for the boycott gang ???????? #AskSRK",0,0
@MD___hashim @RajatSharmaLive So the people of your Tabliki Jamaat who have entered Rahul's ass. Because of him people are dying of hunger because if he had not spread corona in Delhi and the entire country then the lockdown would have been lifted today. And who are those people who are dying of hunger.,1,1
"@RAJPUT11111996 @deshpremiladka @YashPan02739047 @ElvishYadav Hey friend, whether someone is a Khalistan supporter or not, as long as he is an Indian citizen, he has the right to protest. A person can have Khalistan ideology and be a farmer at the same time but",0,0
Tabhkigi gave the plaza to fool,1,0
"@Vaibhav_K8 @abhinav17800 @AwakeHinduu @ANI Tablighi people are dying of corona, RSS people are dying of money. Ban both of them, let there be peace in the country Ã°ÂÂÂ",1,1
"It is good and bad too.. Actually employment should be promoted in the state of Bihar so that Biharis do not go to Bangalore, Delhi, Mumbai because because of Biharis, rest of the people of Delhi, Mumbai, Bangalore get benefit.",0,1
I m a Muslim revert.....i m proud to be a Muslim...Ã¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤,0,0
Corona Virus is spreading rapidly in the country. Our working brothers are getting into accidents while hurrying to go home due to hunger and thirst. The country's media is still spreading the news about Hindu Muslim debates and Tablighi Jamaat. There is no plan as to how crores of people will get their jobs back.,0,0
"At this time, the program to harass Corona Jihad and Tablighi Jamaat and Muslims has started. 7.30",1,1
"Whoever is saying this, debate with him, debate with him, you all are the father of all of you Dr. Zakir Naik sahab, he had done it long ago, he fucked everyone, you came yesterday, you do not have any status, you were the master of Modi, the pants of the entire BJP RSS would get wet, that is why they made fake cases, wah rah secularism was said then, this tattoo of yours, he used to openly challenge it, well he was not born then, you all are idiots, the one who worships the penis and vagina, the Brahma who did not fuck his daughter for 100 years, this Shiva who is the head of Mohini He went mad, after that he turned out to be Krishna, he felt that Ram was as powerful as you, he could make Suraj fly, he could shake him, they kidnapped his wife, they could not do anything like that, even Christian's Yasuu did not have any patience, he also peeled off his daughter-in-law, my Yasuu Yasuuu unholy",1,0
"@vinodkapri It was not the devotee but the Jamaat who said that you won't get Corona by praying 5 times..! Nothing spread through love..! And yes luckily we are devotees, not terrorists..! Ã°ÂÂÂ",1,1
"@AltafSh58602980 @Peeyush13566617 @Aahankh90725649 @Ravi_Shankar__ @pinkichaubey Has anyone ever said that Muslims spread corona?
Everyone said that Tablighi Jamaat spread it, now if you are jealous of him considering him a symbol of your religion then keep burning.
We don't care...
about him",0,1
à¤à¤¬ à¤¯à¥ à¤«à¤°à¥à¤à¥ à¤¥à¤¾ à¤¤à¥ à¤à¤° à¤à¤¬ à¤à¥à¤°à¥à¤¨ à¤®à¤¾à¤° à¤°à¤¹à¤¾ à¤¥à¤¾ ti kya us by police ne action kyu nahi liya sab sarkar ki sajish hai,0,0
"@bainjal @BeingSalmanKhan did our India get the anchor, people are dying due to lack of jobs, people are dying due to Corona, Kangana Salman Drungs, Tabliki Jamaat, this bastard is saying this. May Allah give such punishment to this man who lies about everything. Which spice kit?",1,0
"@RajatSharmaLive When someone says.. there is not a single case of Corona there yet.

Tablighi Jamaati: https://t.co/Yb2siukkDU",0,0
@ArvindKejriwal That's why you are promoting fake farmer protest by becoming a super spreader https://t.co/GkXwgGeQ1S,1,1
"@AG_knocks @veerappavenkap1 @ermanishkasyap That's why he started boycotting Pathan, he is anti-Muslim from the beginning.",1,0
"@pavihansi @DirectorPatil You are not saying that the protests from above are politically motivated. You ran propaganda for Khalistan, you did not condemn the farmers there. You are calling Siddhu a fool, but you are not saying anything about those who have closed the border there, now you should also condemn them.",0,0
"@Mannat_2 @anjanaomkashyap I couldn't stop it, but yes, if people are told that there is a lockdown and so much chaos is being created in the whole country, if you maintain social distancing, there was a hope that maybe they would have been able to break the chain before the Jamaat... but",0,0
"@AunindyoC He is sitting with a 2000 rupee note in which ""NANO GPS CHIP"" is attached. If the plane gets tracked somewhere, then their airstrike would have stopped before it could take off.",0,1
"@Kaganawat_Dee @ShayarImran The first mistake is of our PM Modi 
Because he should have first kept the people coming from abroad in quarantine. 
Not just Jamaat, Yogi's Ayudha Pooja in UP and welcome Trump in Gujarat, corona spread from here too. This is",0,0
"Corona virus is a natural disaster. I request all countries to stop blaming China. All countries should support each other in the fight against corona virus, help the poor as much as possible, do not blame any religion or caste for it, stay home and stay safe India",0,1
"@rehmanology Brother, haven't you got any video for these farmer protests or the fake posts of Kangana and Amit Malpiya???????? that you are spreading? Are you fine?? This selling sycophant @amitmalviya has to be told about his gutter wali Okt as well.",1,0
"@MoHFW_INDIA sir we would have won against corona virus if this virus had not spread through Tablighi Jamaat. Now because of this there is a very serious situation in the country. Due to the common citizens of the country becoming citizens, I want Tablighi Jamaat to be completely banned.",1,1
"@Viku72927013 @RajvirS62684834 @SureshChavhanke has corona spread all over the world, has it spread because of all the Jamaatis? Tadipar which Jamaat did you go to and by the way those Jamaatis also donated plasma, that is why lives of lakhs of people were saved in Delhi,",1,1
"@AmanChopra_ Aman sir why do you make these ignorant people debate, are these people out for Jihad or will they not agree and one more thing Tik Tok China's corona virus China's Muslims China's country is ours or Muslims are ignorant, they will not agree",1,1
"@IKanhaiyaKumar @kanhaiyakumar The meaning of a human being is to demand the country into pieces, we forgot. Is it hatred to remain silent even after being beaten by so many people?? This would be hatred towards the hidden Corona infected people of Tablighi",1,1
@AMISHDEVGAN @News18India @SudhanshuTrived @avanishojha @abuasimazmi It is not the Jamaat like you but the traitor media of the country that has spread corona.,1,1
"@RahulGandhi @WeWantRahul Their courage will break,
These people with peppery eyes will enter again,
The corona virus is their sale, these bastards ate all the animals,
They eat animals of 150 types,
The government should give money for the treatment of Corona and then take action from China",0,1
@ZeeNewsEnglish @aditi_tyagi I feel that the people of Tablighi Jamaat are doing whatever they want and we are sitting at home like fools. That we will win against Corona,1,1
"@5Forty3 You should be ashamed. Even after the Shaheen Bagh, Delhi riots, Singhu, Red Fort, Bengal, Kashmir riots, you did not stop being conscious?",1,0
"Some money from this will be given to Boycott Gang for Burnol..???? #Pathaan 
#Pathaan1000crWorldWide https://t.co/D1lomYj2mg",1,0
@sardanarohit @aajtak Uncle says if the car is not running then B&D nephew.... he is going to Pakistan… ??? Liquor shops say is corona not spreading? Stop licking now??? Tablighi Markaz virus,0,1
"@Rudraksha7 In Surat and during weddings, there is demand and supply, and in the congregation there is Corona Jihad. Where do you get so much stupidity from?",1,1
"@AjazkhanActor When the Tablighi Jamaat people spread corona everywhere, then only it became clear where the numbers would reach in the coming times....after seeing today's figures I am not surprised at all...the way it needs to be understood",1,1
@SureshChavhanke Now will you boycott the whole India?? Because the whole India is supporting Pathan.,1,0
"Come on Indian Media people, today there are around 46000 plus corona patients in our country, in which some are from Tablighi Jamaat and now some are from Sikh Shraddhal, but which Jamaat do the rest belong to?",1,1
"These days, the number of corona virus cases coming in whichever state shows how many people have connections with China, most of the people are from Mumbai.",0,1
Bihari's ass is torn apart,1,1
Bihar jindabaad ðª,0,0
"@RanjangogoiRS Sir, the name of Jamaat should be changed to Corona. This is more dangerous than Corona",1,1
"@AnuSaxenaji send them to Tablighi Jamaat, they will get cured from corona after praying",1,1
"@rjraunac @sudhirchaudhary Birthday cake should be made from that 2000 rupee note which has a nano GPS chip fitted in it... and in Kathua, invite those poor idiot rap**ts to the party...HBD.",1,0
"@gauravnegi006 @chiragcshah7 @vijaygajera @sharadsharma1 They have spread a lot of fake pictures of Delhi. People of Gujarat know that all those pictures are fake. Papis should focus on Delhi, Udhar Shahin Bag and will start propaganda like farmers protest.",1,0
"@RajatSharmaLive There are many lies in this too, many are big liars, Badruddin Sheikh sahib got corona from the maid of his house not from the Jamaat, you all keep spreading lies",1,1
"@aajtak @sardanarohit Sir shoot the Jamaat people, they have only one aim, they will eat the food of India and sing the songs of Pakistan, today these Jamaat people have helped corona by risking their lives, and then they are pelting stones at doctors and policemen, now y",1,1
"@BabitaPhogat @AmitShah CORONA spread through Suvvarons, you had such thoughts a few days ago, now your own party people are getting corona, which gathering were they going to?",1,1
"@GemsOfBollywood Sir boycott him on a bigger level than Pathan
You can also protest against him",1,0
"@keshavk789 @_Vamos_Akshay @Iam_Stuck Which world do you guys live in????
Due to Ajay's Hindi tweet, people from South trolled him so much that it was spread everywhere. And on the farmer protest tweet, Ajay was trolled the most.",1,0
"A Muslim is himself the son of Satan, whose religion was originated by a demon whose name was Muhammad.",1,0
"@AAPDelhi That's why Khalistani has increased in Punjab and riots in Delhi and if you accidentally go out of Shaheenbagh, you will get the look of Bihar, Notarfi rule, wrong side driving, triple ride without helmets",0,0
"If anyone in such a hijab says that it is a saffron love trap, we will not believe it, because who knows whether there is a man or a woman behind the burqa, the face is not visible, it is not possible to make out who it is.",1,0
"@nawabsahab001 @ashish_090 @AlkaMaverick When everyone is sitting at home due to corona virus, China is troubling us, then how will GDP grow when liberals like you are tweeting while sitting at home?",0,1
"@Dr_Uditraj @INCIndia Corona has spread more because of the sycophants Tablighi Jamaatis, just take up their case and see, your eyes will open, do as much sycophancy as you can 
#CoronaUpdatesInIndia",1,1
"@sudhirchaudhary @GretaThunberg This is the person who was looking for nano chip and GPS in the Rs. 2,000 note, wow!!",0,0
"@8292913717Reza @ArvindKejriwal show the light of Tablighi Jamaat as well

30% of his contribution is for corona

We are thankful to him for this achievement",1,1
"@ANI Fake farmer protest site, let it rain a little, O Lord.. and take the tickets out somewhere else.",1,1
"@maheshmathpati7 @RakeshTikaitBKU @OfficialBKU @sambitswaraj @BJP4India @Dev_Fadnavis They know that there is a threat from China but these traitors are misleading the public for their own profits. 
BOYCOTT FAKE FARMERS PROTEST
BOYCOTT MSP
MSP KHA",1,1
They are fans of Taliban #HindusUnderAttack #BharatJodaYatra,1,0
"@BBCHindi First Kanika Kapoor and then those who called Tablighi Jamaat criminals, now what will they say about the worst group of people!! They have no right to say that the government should treat them with corona!!
This is a shame but!!",1,1
"@HardikPatel_ Hey Chomu, people from all over the world were leaving because of the corona virus.. People from China were also evacuated many days before the lockdown.. Now go and find some good work and don't bring shame to Congress...",0,1
shupranlakhaÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,0,0
"@sudhirchaudhary @ZeeNews Joker, ?? nano GPS chip ???? ???????? 2000 ?? ??? ??? ??? ???? DNA ???? ?????",0,1
@Mukeshk_1 Pathaan was a hit... Close the boycott shop ????????????,1,0
"@ZeeNews If I don't mind then I want to ask the reason for being a citizen of the country. If there was Corona's tribe then what would I say Sahab and Jihad was being called, now what would I say #zee_had .. If I don't feel hatred then it doesn't happen, I pray that everything gets well soon, dear friends.",0,0
Pism is a jahil community... Terrorist,1,0
"@ShivamP21280306 @Parmar_Hasmukh_ @RashidA59479164 @Jangsherkhann @Shilpa_Bhartiy Are cowherds, for how long will you keep blaming Muslims for everything, at least think beyond blind devotion, the world is fighting the epidemic but now also instead of giving medicine, you have made corona a religion.",1,1
@chitraaum Now corona must have gone away Chitra ji?? What kind of group is this by the way??,1,1
"@aamir_khan Kiran is also not afraid, the Tablighi Jammat people are spreading corona so much",1,1
"@ravirajguru_1 @coolfunnytshirt You don't know how to read it, that is why you see him as Khalistani, he himself is saying that fake farmers were also found in him and he himself is calling the entire protest as Khalistani, there is a limit to dogmatism too ht",1,0
"#bjp aur #congress kaa #iLuiLu ... dono ko desh se hi baahar karnaa chaahiye 

#governor #punjab 

#HateSpeech #BanPFI #GauriKhan #EknathShinde #HumaQureshi #UddhavThackeray #swaraBhaskar #hindusunderattack https://t.co/BGF14QBq1e",1,0
these brothers can't improve,1,1
"If only Novel Corona virus was like a Chinese product, it would have ended long ago Ã°ÂÂ¤Âª
#CoronaUpdatesInIndia #COVIDÃ£ÂÂ¼19 #coronavirus",0,1
"@realhanifkazi @RanaAyyub Bhosdike first you start looking for the papers... after dealing with Corona, it is the turn of you pigs' group....",1,1
"""No Muslim will come to fight on the side of Hindus."" 

#HinduHatred 
#HindusUnderAttack 
#Hindus 
#Hindutva 
#Ramcharitmanas",1,1
"@GemsOfBollywood Just put music all day long, Pathan has put a dent on your business, anyway your boycott does not have the status of 2 coins, it will not matter if you put in useless things.",0,0
RAGHU'S MATTLAB RAM<br>Name of RAM's work ð,0,1
@Sehajve01311793 @Adhiraj__21 @japneetkaur77 you scoundrels...you guys have grown too many wings...you guys deserve to lose your shoes...#FakeFarmersProtest,1,1
They are bent on bringing their country to this state and then compare it with other countries,1,1
"@Ibrahim32338822 @RajputReal1 @anjanaomkashyap @SobhiitG Who are those Jamaatis who are ruining the whole of India by spreading corona, brother? Are they not from the Jamaat and why so much anger on being called Jamaati?",1,1
"Sad.. such an atmosphere has been created that every day some new incident is happening, what is happening #HindusUnderAttack #HinduLivesMatters #Secularism #bhaichara #hangrapist",0,1
"The same boycott gang which did not even allow PATHAAN to be run, today wants an Oscar from PATHAAN as well????",0,0
"@sudhirchaudhary @ZeeNews This idea is old, do something else Tihari, like Nano Chip and GPS in 2000 rupee note....?????????????????????????????????",1,0
"@DChaurasia2312 You had described the Tabligi Jamaat as Corona Jihad, today the same people are coming forward like heroes to help those who are Corona +ve... You can save your job by becoming a resident of Jehar but you will lose your peaceful sleep.",1,1
"@sardesairajdeep @javedmansari Did the entire Jamaat-e-Libbrandu put SICKULARISM in their ass after hearing the sound of firecrackers yesterday???????????????????????????????????????????????
#LibtardMafia also does not spare Hindus",1,1
@ProfNoorul @atherzaidy @Uppolice @DelhiPolice Why did these Jamaatis get corona? Who is responsible? This is the question. The Jamaat already has a system of roaming around in the country..why was lockdown not imposed in January itself after taking action against the Jamiatians..the biggest question,0,0
"@RaviGau99740162 @Brand_Anuj China is talking about Papuuu the donkey, that's why he knew that his anklets ( donkeys) have manufactured the Corona virus, if he is not going to give the same gift to India too, Papuuu must have known it.",1,1
@shaheeralam62 @SanjayUkroond @HansrajMeena then why are 30% cases in the country of #Tablighi Jamaat and in many states it is more than 60-70%. In Tamilnadu more than 90% are of Tablighi Jamaat..#?????????????????????????????????,0,1
Our land is yours in the Kuran tree,0,0
ep @randm_indianguy tune till now you have not even talked about #HindusUnderAttack and the big deal is that the film should be stopped and what should we expect from you if you are an anti-Hindu BKL,1,0
"@zainabsikander Now the media, devotees and Kejriwal have also said who these idiots are. Everyone knows who these idiots are. These idiots are busy spreading corona. Now they are not showing it to anyone. They have said a lot about Tablighi Jamaat, now say fools for them and this also goes the same way.",1,1
@kashmirashwani Mine is not like this!!! ?? #HindusUnderAttack #lovejihaad,0,0
"@naqvimukhtar Arre miyan friends, Trump has spread it in Gujarat. .
And listen uncle, the ones giving plasma to Corona are Tablighis ..
#Islamophobic",1,1
@suhaibu1973 @MaridhasAnswers Ungha ammalukku Corona positive-vaame... Tablighi Jamaat ku potittu vandha yellaam puulu-vetti thulukkans puulugalai vumbbiyadhaal thottru vanddhaame ??,1,1
@sudhirchaudhary Adani's soul must have been affected by Hindenburg's report ????????????,1,1
"Don't maintain any relationship with mullahs.
They are not your sage father's.
And don't even leave your sisters and daughters.
Aware your children. Alarming situation.
#lovejihaad #HindusUnderAttack https://t.co/lw6HI6vEoZ",1,1
Now it is time to clean the house. Throw out all the harmful insects,1,1
We shouldn't have this lustful religion in which 80% of the talk is about sex only.,1,0
"@MajorPoonia Compounder check your old tweets which you had written about Zeher Tuney Tableekhi Jamaat and Corona, High Court has taken such a decision that the idiots and propaganda masters are roaming around hiding their faces https://t.co/xrdAzwj94X",1,1
Lolðð¤£ð¤£ð¤£,0,0
"Who spread corona among the people of Tableeghi Jamaat? When they came to India, why were they not quarantined after screening at the airport? Along with studies, they should have also done some reading and writing. The power of thinking increases.

Failure of Government??? TJ is guilty",1,1
"@ManojRa91010961 @FIROZGOUR14 @RanaAyyub Ask him that if Tablighi people travelled across the country by train, then how many of them would have got infected with Corona. Will you give the details of who got infected...",1,1
What answer will you give to the increasing corona cases due to Diwali? . . . . Will the bills in the name of Tablighi Jamaat still be published?,1,1
Come out of the tent first o<br><br>Your religion is the religion of terrorists.,1,0
"All this will happen by 2022, for now we can take out the Nano GPS Chip from the 2000 Rs note and sell it.",0,1
"Bhaisaab ladies, they are not even police, they have no right to even touch them, but this is very wrong Ã°ÂÂÂ®",0,1
"Hey Jihadi Tablighi Jamaatis, your enemy Sudhir Chaudhary will not get corona by spitting online, he will have to spit in real like his ignorant friends. #ThooSudhirChaudharyThoo",1,1
"??? ?? ?? ?? ???? ?? ??? ??? ??? ???? GPS Nano Chip ???? ??? ???| ?????? ??? ?? DNA ???? ??????? ?? ?????? ?? ?? TV?? ????? ?? ???? ??? ??|
@TheDeshBhakt @dhruv_rathee @umashankarsingh @SampatSaral @varungrover 
#DeMonetisationDisaster 
#??_????_??????_??
#GodiMediainComa",0,0
"@SquintAnanya @mybmc @MumbaiPolice @MumbaiPolice kicking people like these and letting them run away, during Corona time many were taking pride in the name of Tablighi, these very police men were proud

Pride is on Mumbai city",1,1
No proof given by puncture wala,1,1
"@SupriyaShrinate @BagchiAsh Hindenburg did not even know that Silicon Valley bank was bankrupted but he knows everything about Adani
How much money was given by the treacherous Congress",1,0
"@News18UP @AMISHDEVGAN Do you have any more news? Apart from Tabligh Jamaat Nizamuddin, if there is anything else then please tell me, otherwise they will kill your news before Corona...",1,0
"Where the ignorant Tablighi Jamaatis are punished with arrogance, there is no corona. A worldwide research survey...",1,1
"@AhmedKhanSrkman More than this, he came in front of me to boycott the Pathan????",1,0
Kuto achhe se kuto,1,0
"Cultural Indian thinks 'amrit garden' is too sanskritized. Wah chutiye
#HindusUnderAttack #IndianArmy #Hindutva https://t.co/U3MbCAxtJR",1,1
It is Tablighi Jamaat that has spread corona. They are the traitors of this country and you are also a Jihadi @ReallySwara,1,1
"@Kiddo_cindraa Some 3-4 people sitting in Canada are doing Khalistan Khalistan, right? Then they are generalizing everyone Modi devotees, now even the farmers of Haryana, Rajasthan are protesting, still they are doing all this.",1,1
Let's go to bsdk,1,0
"@umashankarsingh why..when you showed it about scoundrels like Ram Rahim or Ram Pal, then no one had any objection..because a wrong will have to be called a wrong..it is because of the Tablighi people that Corona has spread a lot today and this is the truth..",1,1
"@msisodia Beggar...demand from those mullahs...from whom you guys are saving...demand from that Maulana Saad...who was chased away, demand from that Tablighi Jamaati...with whose help corona was spread...demand from those Shaheenbag people whom you guys promoted.",1,1
"Hindenburg shook,

Adani's Hindola,

Body shook, mind shook, wealth shook

What all happened while watching!!",0,0
"#ZeeNewsSealKaro Zee News's palatwar on Tablighi Jamaat, entire 28 people were Corona positive and were making a big plan to spread Corona in the country, they were trended to spread Corona in different places",1,1
"@BabitaPhogat On 12th April itself a pizza delivery boy was found corona positive in Delhi! Before the report came, he had already delivered pizzas in 72 houses. So Babita Phogat you tell us which Tablighi Jamaat boy was he from, why did he hide the disease?",1,1
"News about Covid19 and China border should stop coming. This means that both of these will disappear from the Vote Capturing Material list.
Everything is closed due to Corona Virus, children's schools and colleges are closed, but elections will be held on time.",0,0
"Now come or go....
#JusticeForAnkita #justiceforAnkitaKumari #JusticeForAnkitaSingh #HindusUnderAttack #Hinduphobic Now you have to decide whether to live in fear, run away, ignore it or fight for your rights for #SanatanaDharma.... https://t.co/3fok1MOFJZ",0,1
@TrueInd26978997 @sardanarohit @aajtak Who are these people? Which community do they belong to? Is this not a conspiracy of Tablighi Jamaat to spread Corona Jihad?,1,1
